brand,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found,animal_cruelty_flag,animal_cruelty_note
Fendi,Fendi Product 44,Shoes,Crocodile Leather,Exotic Leather,1 skin,Monogram,Quilted,Hand-stitched,Spain,2020,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,40091.05,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 44,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Valentino,Valentino Product 45,Wallet,Ostrich Leather,Leather,1 hide,Monogram,Smooth,Machine-made,Spain,2021,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,43964.64,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9]{6,12}$",True,Valentino Product 45,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Chanel,Chanel Product 46,Bag,Calfskin (Bovine),Leather,1 hide,Beige,Textured,Machine-made,United Kingdom,2024,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,2424.21,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 46,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Miu Miu,Miu Miu Product 47,Bag,Calfskin (Bovine),Leather,1 hide,Monogram,Textured,Machine-made,France,2021,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,94575.63,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 47,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Miu Miu,Miu Miu Product 48,Bag,Ostrich Leather,Leather,1 hide,Red,Quilted,Handcrafted,Spain,2021,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,67537.08,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 48,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Burberry,Burberry Product 49,Bag,Crocodile Leather,Exotic Leather,1 skin,Beige,Embossed,Handcrafted,United Kingdom,2024,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,79437.53,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 49,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Bag, Material: Crocodile Leather, Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Crocodile Leather - animal killed
Hermès,Hermès Product 50,Shoes,Crocodile Leather,Exotic Leather,1 skin,Black,Smooth,Machine-made,Spain,2020,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,19815.65,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 50,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Miu Miu,Miu Miu Product 51,Bag,Lambskin (Sheepskin),Leather,1 hide,Monogram,Quilted,Handcrafted,France,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,43219.29,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 51,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Gucci,Bamboo 1947 Small Bag,Bag,Cowhide,Leather,1 hide,Black,Smooth,Hand-stitched,Italy,2023,CITES,Ethically sourced leather,5400.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Bamboo 1947 Small Bag,675797 10ODP 1060,https://www.gucci.com/us/en/pr/women/gucci-bamboo-1947/gucci-bamboo-1947-small-bag-p-67579710ODP1060,"With its unique features such as the hand-curved bamboo handle, closure and a mirror in its own leather holder, Gucci Bamboo 1947 embodies the House’s signature style and artisanal excellence.","Black leather; Black bamboo hardware; Interchangeable black leather and green and red Web straps; Lining: leather; Inside: 1 zip pocket; 1 open pocket with mirror; Bamboo handles with 4.3"" drop; Weight: 2lbs; 8.3""W x 6""H x 2.75""D; Made in Italy",Black,Verified (PDP-crawled),Updated from authoritative user list,True,True,Made from Cowhide - animal killed
Louis Vuitton,Louis Vuitton Product 53,Shoes,Ostrich Leather,Leather,1 hide,Black,Smooth,Machine-made,Spain,2020,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,37979.82,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 53,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Black",Black,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Ostrich Leather - animal killed
Miu Miu,Miu Miu Product 54,Bag,Lambskin (Sheepskin),Leather,1 hide,Monogram,Smooth,Hand-stitched,Italy,2023,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,58757.63,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 54,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Versace,Versace Product 55,Wallet,Lambskin (Sheepskin),Leather,1 hide,Red,Embossed,Machine-made,Italy,2024,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,38127.92,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,Versace Product 55,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Wallet, Material: Lambskin (Sheepskin), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Bottega Veneta,Bottega Veneta Product 56,Bag,Calfskin (Bovine),Leather,1 hide,Beige,Embossed,Handcrafted,France,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,22388.1,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 56,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Gucci,Gucci Product 57,Wallet,Calfskin (Bovine),Leather,1 hide,Red,Grain,Hand-stitched,Spain,2025,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,59187.63,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 57,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Red",Red,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Celine,Celine Product 58,Shoes,Ostrich Leather,Leather,1 hide,Red,Textured,Machine-made,United Kingdom,2023,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,15055.39,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 58,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Valentino,Valentino Product 59,Belt,Crocodile Leather,Exotic Leather,1 skin,Brown,Smooth,Hand-stitched,Spain,2020,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,68230.46,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{6,12}$",True,Valentino Product 59,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Belt, Material: Crocodile Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Hermès,Hermès Product 60,Belt,Bovine (Cowhide),Leather,1 hide,Red,Textured,Handcrafted,Spain,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,93029.07,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 60,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Balenciaga,Balenciaga Product 61,Wallet,Lambskin (Sheepskin),Leather,1 hide,Brown,Smooth,Hand-stitched,Italy,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,9079.39,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 61,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Wallet, Material: Lambskin (Sheepskin), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Chanel,Chanel Product 62,Belt,Calfskin (Bovine),Leather,1 hide,Brown,Quilted,Hand-stitched,Spain,2024,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,91630.71,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 62,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Hermès,Hermès Product 63,Wallet,Calfskin (Bovine),Leather,1 hide,Beige,Grain,Machine-made,United Kingdom,2022,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,52534.06,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 63,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
